UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],machine_id,timestamp,operator_id,material_lot
8017,H08017,H,300.4,311.2,2262,17.2,64,LINE3-M02,2026-07-29T06:54:00,OP-109,MAT-8816
8018,M08018,M,300.0,311.8,1353,55.1,67,LINE2-M01,2026-07-29T06:58:00,OP-111,MAT-8801
8019,L08019,L,305.8,316.3,1690,41.0,69,LINE2-M02,2026-07-29T07:03:00,OP-105,MAT-8802
8020,L08020,L,298.6,309.2,1168,46.5,71,LINE1-M01,2026-07-29T07:08:00,OP-109,MAT-8805
8021,M08021,M,302.4,312.3,1326,44.6,74,LINE3-M01,2026-07-29T07:11:00,OP-109,MAT-8814
8022,H08022,H,300.4,309.6,1168,43.4,79,LINE3-M01,2026-07-29T07:17:00,OP-103,MAT-8812
8023,M08023,M,299.2,308.5,1725,37.1,82,LINE1-M02,2026-07-29T07:22:00,OP-101,MAT-8802
8024,M08024,M,301.7,311.1,1761,27.3,85,LINE2-M01,2026-07-29T07:25:00,OP-103,MAT-8805
8025,L08025,L,301.5,312.0,1168,29.0,87,LINE1-M02,2026-07-29T07:30:00,OP-103,MAT-8814
8026,L08026,L,299.6,309.5,1696,55.2,89,LINE3-M02,2026-07-29T07:33:00,OP-100,MAT-8817
8027,H08027,H,299.3,309.8,1859,39.1,94,LINE2-M02,2026-07-29T07:36:00,OP-105,MAT-8818
8028,L08028,L,302.9,313.0,1812,48.3,96,LINE2-M01,2026-07-29T07:39:00,OP-101,MAT-8818
8029,L08029,L,298.7,309.8,1168,29.1,98,LINE2-M01,2026-07-29T07:42:00,OP-111,MAT-8802
8030,H08030,H,300.8,310.1,1219,37.6,103,LINE2-M01,2026-07-29T07:48:00,OP-106,MAT-8810
8031,H08031,H,300.3,310.4,1607,47.3,108,LINE3-M02,2026-07-29T07:51:00,OP-106,MAT-8802
8032,L08032,L,301.0,310.8,1532,31.7,110,LINE2-M02,2026-07-29T07:53:00,OP-105,MAT-8807
8033,M08033,M,299.8,310.2,1296,50.5,113,LINE1-M02,2026-07-29T07:58:00,OP-104,MAT-8814
8034,L08034,L,298.4,308.8,1663,47.0,115,LINE2-M01,2026-07-29T08:04:00,OP-110,MAT-8801
8035,L08035,L,298.2,307.5,1632,37.8,117,LINE1-M01,2026-07-29T08:10:00,OP-107,MAT-8819
8036,M08036,M,297.2,306.7,1851,21.3,120,LINE2-M02,2026-07-29T08:16:00,OP-110,MAT-8810
8037,M08037,M,298.9,307.4,1491,39.0,123,LINE2-M02,2026-07-29T08:18:00,OP-105,MAT-8816
8038,L08038,L,299.0,311.4,1659,48.5,125,LINE1-M02,2026-07-29T08:20:00,OP-105,MAT-8811
8039,L08039,L,299.0,308.7,1555,27.7,127,LINE2-M02,2026-07-29T08:22:00,OP-110,MAT-8800
8040,L08040,L,303.6,314.2,1468,51.2,129,LINE3-M01,2026-07-29T08:27:00,OP-110,MAT-8803
8041,M08041,M,301.5,310.9,1379,37.7,132,LINE3-M01,2026-07-29T08:31:00,OP-108,MAT-8801
8042,L08042,L,297.4,305.7,1852,46.4,134,LINE3-M01,2026-07-29T08:37:00,OP-107,MAT-8816
8043,H08043,H,301.2,313.1,1572,35.4,139,LINE1-M02,2026-07-29T08:39:00,OP-110,MAT-8816
8044,H08044,H,302.4,313.5,1788,24.6,144,LINE1-M01,2026-07-29T08:44:00,OP-111,MAT-8819
8045,H08045,H,299.4,309.5,1402,48.1,149,LINE2-M02,2026-07-29T08:46:00,OP-102,MAT-8803
8046,H08046,H,300.3,311.7,1797,43.5,154,LINE3-M01,2026-07-29T08:48:00,OP-105,MAT-8816
8047,L08047,L,297.1,308.2,1580,37.7,156,LINE1-M01,2026-07-29T08:51:00,OP-110,MAT-8811
8048,H08048,H,301.4,312.0,1267,24.5,161,LINE3-M02,2026-07-29T08:53:00,OP-108,MAT-8818
8049,L08049,L,301.0,311.2,1898,25.0,163,LINE1-M02,2026-07-29T08:56:00,OP-105,MAT-8808
